4286,3623,False,6.095325000000000
3039,3045,False,5.7907070000000003
3700,85984,False,5.796366000000000,,,,
3002,3002,True,5.8480889999999999,,,,,
3659,3659,True,5.842612000000000,,,,,
54200,54200,True,5.757937000000000,,,,,
3022,3040,False,5.827612000000000,,,,,
3794,85984,False,5.763655000000000,,,,,
3046,3003,False,5.89082100000000,,,,,
41677,41677,True,5.782743000000000,,,,,
3069,3794,False,5.757339000000000,,,,,
3024,3024,True,5.761686000000000,,,,,
27925,3068,False,5.76626200000000,,,,,
3005,43857,False,5.744209000000000,,,,,
43857,43857,True,5.762572000000000,,,,,
2420,14719,False,5.775778000000000,,,,,
3039,3039,True,5.805609000000000,,,,,
3062,3062,True,5.79336400000000,,,,,
3623,3623,True,5.835980000000000,,,,,
54200,18654,False,5.780325000000000,,,,,
3040,3040,True,5.77898900000000,,,,,
3020,3001,False,5.906095000000000,,,,,
41677,41677,True,5.810220000000000,,,,,
43857,3069,False,5.852543000000000,,,,,
3022,33909,False,5.817104000000000,,,,,
4490,4490,True,5.885911000000000,,,,,
43093,43093,True,5.835325000000000,,,,,
3068,3068,True,6.161779000000000,,,,,
3623,4286,False,6.0254250000000003,,,,,
3700,3700,True,6.07175100000000,,,,,
6143,6143,True,6.1463310000000000,,,,,
4274,4274,True,5.848778000000000,,,,,
4286,4286,True,5.811041000000000,,,,,
99301,3010,False,5.941682000000000,,,,,
3068,3068,True,5.887383000000000,,,,,
14719,2420,False,5.92977000000000,,,,,
43857,43857,True,5.87570300000000,,,,,
2420,2420,True,5.900423000000000,,,,,
15672,15672,True,5.820338000000000,,,,,
3004,3700,False,5.934425000000000,,,,,
3038,3002,False,6.283006000000000,,,,,
2357,3046,False,6.272183000000000,,,,,
2420,3022,False,6.196528000000000,,,,,
3001,3001,True,6.111720000000000,,,,,
2780,2780,True,5.879303000000000,,,,,
99301,99301,True,5.990873000000000,,,,,
3037,3038,False,5.859019000000000,,,,,
99301,99301,True,5.9678310000000003,,,,,
3037,3037,True,5.902601000000000,,,,,
14719,2420,False,6.898725000000000,,,,,
3001,3001,True,6.777954000000000,,,,,
3020,3039,False,6.7565600000000003,,,,,
3068,33909,False,5.958273000000000,,,,,
3070,3070,True,6.047894000000000,,,,,
3659,3622,False,6.147749000000000,,,,,
3037,3010,False,6.06214700000000,,,,,
85984,3794,False,5.950516000000000,,,,,
4286,3045,False,5.994203000000000,,,,,
3675,3298,False,6.041222000000000,,,,,
3794,3794,True,6.553460000000000,,,,,
3700,85984,False,6.4885330000000003,,,,,
4286,3045,False,6.135257000000000,,,,,
4490,4490,True,6.149747000000000,,,,,
41678,41678,True,6.188135000000000,,,,,
3070,3070,True,5.864404000000000,,,,,
33909,3022,False,5.854206000000000,,,,,
15672,15672,True,5.951858000000000,,,,,
3022,33909,False,5.876515000000000,,,,,
43093,2780,False,5.980239000000000,,,,,
3040,3040,True,5.989360000000000,,,,,
3037,3037,True,6.1814140000000002,,,,,
3659,3659,True,6.547618000000000,,,,,
3068,3068,True,6.437151000000000,,,,,
6143,6143,True,6.449678000000000,,,,,
4274,4274,True,6.247765000000000,,,,,
4274,4274,True,5.766338000000000,,,,,
